offer_id,offer_type,difficulty,reward,duration,channel
ae264e3637204a6fb9bb56bc8210ddfd,bogo,10,10,7,email
ae264e3637204a6fb9bb56bc8210ddfd,bogo,10,10,7,mobile
ae264e3637204a6fb9bb56bc8210ddfd,bogo,10,10,7,social
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,10,10,5,web
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,10,10,5,email
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,10,10,5,mobile
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,10,10,5,social
3f207df678b143eea3cee63160fa8bed,informational,0,0,4,web
3f207df678b143eea3cee63160fa8bed,informational,0,0,4,email
3f207df678b143eea3cee63160fa8bed,informational,0,0,4,mobile
9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5,5,7,web
9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5,5,7,email
9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5,5,7,mobile
0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,20,5,10,web
0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,20,5,10,email
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,7,3,7,web
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,7,3,7,email
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,7,3,7,mobile
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,7,3,7,social
fafdcd668e3743c1bb461111dcafc2a4,discount,10,2,10,web
fafdcd668e3743c1bb461111dcafc2a4,discount,10,2,10,email
fafdcd668e3743c1bb461111dcafc2a4,discount,10,2,10,mobile
fafdcd668e3743c1bb461111dcafc2a4,discount,10,2,10,social
5a8bc65990b245e5a138643cd4eb9837,informational,0,0,3,email
5a8bc65990b245e5a138643cd4eb9837,informational,0,0,3,mobile
5a8bc65990b245e5a138643cd4eb9837,informational,0,0,3,social
f19421c1d4aa40978ebb69ca19b0e20d,bogo,5,5,5,web
f19421c1d4aa40978ebb69ca19b0e20d,bogo,5,5,5,email
f19421c1d4aa40978ebb69ca19b0e20d,bogo,5,5,5,mobile
f19421c1d4aa40978ebb69ca19b0e20d,bogo,5,5,5,social
2906b810c7d4411798c6938adc9daaa5,discount,10,2,7,web
2906b810c7d4411798c6938adc9daaa5,discount,10,2,7,email
2906b810c7d4411798c6938adc9daaa5,discount,10,2,7,mobile
